"Qty","Reference","Value","PARTNO","DK","ALT1"
"1","U3","INA260","INA260AIPW","296-45218-5-ND",""
"1","U4","SN74AVC4T774","SN74AVC4T774PWR","296-24739-1-ND",""
"1","U5","25MHz","SX3M25.000E20F30THN","",""
"1","U6","TMP1075","TMP1075DGKR","296-TMP1075DGKRCT-ND",""
"1","U7","AP74700Q","AP74700QW6-7","31-AP74700QW6-7CT-ND",""
"1","U8","W25Q16JVUXIQ TR","W25Q16JVUXIQ TR","256-W25Q16JVUXIQTRCT-ND",""
"1","U9","SK6812","","",""
"1","U10","TLV1117LV33DCYR","TLV1117LV33DCYR","296-28778-1-ND",""
"2","U11,U12","TPD1E05U06DYA","","",""
"1","U13","TMP451HQDQWRQ1","TMP451HQDQWRQ1","296-TMP451HQDQWRQ1CT-ND",""
"1","U27","RP2040","SC0914(13)","2648-SC0914(13)CT-ND",""
"12","U28,U29,U30,U48,U49,U50,U57,U58,U59,U66,U67,U68","MCP1824T-1202E/OT","MCP1824T-1202E/OT","MCP1824T-1202E/OTCT-ND","LDK120M12R"
"12","U32,U42,U43,U51,U52,U53,U60,U61,U62,U69,U70,U71","MCP1824T-0802E","MCP1824T-0802E/OT","MCP1824T-0802E/OTCT-ND","LDK120M08R"
"8","U45,U47,U54,U56,U63,U65,U72,U74","BM1362AC_MODE1","","",""
"4","U46,U55,U64,U73","BM1362AC_MODE0","","",""
"1","Y1","12MHz","ECS-120-20-33-CKM-TR3","50-ECS-120-20-33-CKM-TR3CT-ND",""
